12-43-Gr. corridor,12,43,Gr. corridor,5.0
12-45-Gr. corridor,12,45,Gr. corridor,10.0
12-47-Gr. corridor,12,47,Gr. corridor,7.0
13-5-D01,13,5,D01,9.5
13-7-D01,13,7,D01,11.0
13-9-D01,13,9,D01,10.0
13-11-D01,13,11,D01,15.0
13-13-D01,13,13,D01,9.5
13-15-D01,13,15,D01,13.5
13-17-W.Vl.Heuvels,13,17,W.Vl.Heuvels,17.0
13-19-W.Vl.Heuvels,13,19,W.Vl.Heuvels,15.0
13-21-W.Vl.Heuvels,13,21,W.Vl.Heuvels,7.0
13-23-W.Vl.Heuvels,13,23,W.Vl.Heuvels,11.0
13-25-W.Vl.Heuvels,13,25,W.Vl.Heuvels,10.5
13-27-W.Vl.Heuvels,13,27,W.Vl.Heuvels,9.0
13-29-6VB1038,13,29,6VB1038,12.0
13-31-6VB1038,13,31,6VB1038,10.0
13-33-6VB1038,13,33,6VB1038,7.0
13-35-6VB1038,13,35,6VB1038,12.5
13-37-6VB1038,13,37,6VB1038,6.0
13-39-6VB1038,13,39,6VB1038,7.0
13-41-gr. corridor,13,41,gr. corridor,13.0
13-43-gr. corridor,13,43,gr. corridor,9.0
13-45-gr. corridor,13,45,gr. corridor,7.0
13-47-gr. corridor,13,47,gr. corridor,6.0
14-5-D01,14,5,D01,11.0
